PROVINCENO,PROVINCENAME,AREALEVEL
110000,北京市,直辖市
120000,天津市,直辖市
130000,河北省,省
140000,山西省,省
150000,内蒙古自治区,省
210000,辽宁省,省
220000,吉林省,省
230000,黑龙江省,省
310000,上海市,直辖市
320000,江苏省,省
330000,浙江省,省
340000,安徽省,省
350000,福建省,省
360000,江西省,省
370000,山东省,省
410000,河南省,省
420000,湖北省,省
430000,湖南省,省
440000,广东省,省
450000,广西壮族自治区,省
460000,海南省,省
500000,重庆市,直辖市
510000,四川省,省
520000,贵州省,省
530000,云南省,省
540000,西藏自治区,省
610000,陕西省,省
620000,甘肃省,省
630000,青海省,省
640000,宁夏回族自治区,省
650000,新疆维吾尔自治区,省
710000,台湾省,省
810000,香港特别行政区,省
820000,澳门特别行政区,省
000000,国家级,国家级
